"","Gobierno.delincuencia","P.politica","Sexo","Detencion.ciudadana","Medidas.Punitivas"
"1",3,6,1,4,15
"2",6,6,0,3,12
"3",3,3,1,3,13
"4",4,3,0,3,12
"5",2,5,1,3,12
"6",3,10,0,4,12
"7",1,7,1,3,11
"8",3,5,1,3,12
"9",2,5,0,5,15
"10",5,6,0,3,11
"11",3,3,1,3,12
"12",2,1,1,3,12
"13",2,5,0,4,12
"14",1,5,0,5,14
"15",1,3,1,3,11
"16",1,3,0,4,12
"17",3,3,0,5,15
"18",4,5,0,3,10
"19",4,2,1,3,12
"20",1,2,0,4,12
"21",2,3,0,4,12
"22",5,7,0,4,12
"23",1,4,1,5,15
"24",4,7,0,3,9
"25",2,5,0,4,11
"26",3,5,1,5,15
"27",3,5,1,5,15
"28",3,3,0,5,14
"29",3,3,0,5,14
"30",5,5,1,4,13
"31",2,5,1,4,12
"32",4,6,1,3,10
"33",1,5,0,6,15
"34",5,7,1,3,10
"35",4,5,1,4,12
"36",3,5,0,6,15
"37",4,6,1,3,9
"38",5,7,1,3,9
"39",3,3,0,3,8
"40",3,6,0,5,12
"41",1,6,1,6,15
"42",1,6,1,6,15
"43",1,10,1,6,14
"44",1,4,0,3,7
"45",1,5,1,3,8
"46",5,6,1,3,9
"47",4,5,0,5,12
"48",4,5,0,5,12
"49",2,5,1,6,15
"50",1,9,0,5,10
"51",6,6,0,4,10
"52",1,3,1,6,15
"53",3,7,0,5,11
"54",4,4,0,5,12
"55",1,1,0,3,7
"56",3,5,1,6,15
"57",2,8,0,7,15
"58",1,5,1,3,7
"59",2,5,1,5,12
"60",1,2,0,5,11
"61",1,5,0,7,15
"62",1,5,0,7,15
"63",1,5,0,7,15
"64",3,2,0,6,14
"65",3,6,0,6,13
"66",4,1,0,5,12
"67",1,4,0,7,15
"68",2,5,0,7,15
"69",1,6,0,6,12
"70",2,4,1,3,7
"71",3,6,0,7,15
"72",2,7,0,6,12
"73",2,8,1,6,13
"74",1,8,1,7,15
"75",4,5,0,6,13
"76",2,3,0,4,8
"77",2,6,0,6,12
"78",1,10,1,6,12
"79",4,4,1,5,12
"80",4,5,1,3,7
"81",2,7,0,7,14
"82",1,4,0,6,12
"83",4,5,1,6,14
"84",4,5,0,7,15
"85",3,6,0,6,12
"86",1,6,1,7,15
"87",1,3,0,6,12
"88",2,7,1,7,15
"89",5,8,0,6,12
"90",3,5,0,6,12
"91",3,5,0,6,12
"92",1,3,1,3,6
"93",2,3,0,6,12
"94",1,7,1,6,12
"95",3,5,1,6,13
"96",7,5,0,6,13
"97",4,5,0,6,12
"98",4,10,1,6,12
"99",1,7,1,4,7
"100",3,3,0,6,12
"101",5,4,0,5,10
"102",5,5,1,5,11
"103",6,2,1,5,12
"104",5,5,0,6,12
"105",4,5,0,7,14
"106",5,7,1,7,15
"107",3,4,0,5,9
"108",5,4,0,6,12
"109",2,4,0,6,11
"110",1,8,1,6,11
"111",4,4,0,7,14
"112",4,4,0,7,14
"113",4,6,1,5,10
"114",1,3,1,3,5
"115",5,3,0,3,5
"116",5,4,1,3,6
"117",2,4,1,6,12
"118",2,4,1,6,12
"119",3,5,1,6,12
"120",3,5,1,6,12
"121",1,10,1,3,3
"122",3,3,0,3,4
"123",2,5,0,8,15
"124",4,3,0,5,9
"125",1,6,0,7,12
"126",3,6,0,8,15
"127",2,3,0,7,13
"128",1,7,0,8,14
"129",1,5,0,4,5
"130",4,5,1,6,12
"131",3,8,0,7,12
"132",1,5,1,6,11
"133",1,5,1,6,11
"134",2,5,0,6,10
"135",2,2,1,6,12
"136",1,5,0,7,12
"137",1,5,0,7,12
"138",3,10,0,6,9
"139",3,3,1,6,12
"140",1,3,0,6,10
"141",1,4,0,7,12
"142",1,2,0,3,3
"143",2,5,0,7,12
"144",4,6,0,6,10
"145",5,3,0,6,11
"146",2,7,0,6,9
"147",5,4,1,6,12
"148",2,4,1,6,11
"149",3,4,0,6,10
"150",1,5,1,8,15
"151",4,7,1,4,6
"152",3,10,1,7,12
"153",5,3,0,7,13
"154",1,7,1,7,12
"155",4,4,0,6,10
"156",4,4,0,6,10
"157",7,5,1,6,12
"158",7,5,1,6,12
"159",4,5,1,6,11
"160",1,5,1,6,10
"161",4,5,0,7,12
"162",4,3,0,3,3
"163",2,6,1,6,10
"164",1,2,1,7,13
"165",6,3,1,6,12
"166",4,2,0,8,15
"167",2,9,0,9,15
"168",3,7,0,7,11
"169",5,4,0,6,10
"170",2,4,0,6,9
"171",1,7,0,9,15
"172",3,5,0,6,9
"173",1,5,1,7,12
"174",1,5,1,7,12
"175",1,5,0,8,13
"176",1,6,0,6,8
"177",1,2,1,8,15
"178",1,3,0,7,11
"179",2,1,1,4,6
"180",1,4,1,7,12
"181",1,4,1,7,12
"182",1,4,1,7,12
"183",4,5,1,5,8
"184",1,2,1,3,3
"185",2,4,0,7,11
"186",1,8,0,8,12
"187",2,5,0,8,13
"188",1,5,0,9,15
"189",1,3,1,7,12
"190",1,1,1,3,3
"191",4,7,1,7,12
"192",3,10,0,8,12
"193",3,5,1,4,5
"194",4,4,0,6,9
"195",1,4,0,6,8
"196",2,4,1,7,12
"197",1,7,0,8,12
"198",1,7,0,8,12
"199",3,4,0,7,11
"200",4,4,1,8,15
"201",4,5,1,6,10
"202",1,5,1,6,9
"203",1,5,1,6,9
"204",1,5,0,7,10
"205",2,5,1,8,14
"206",2,3,1,7,12
"207",1,6,0,8,12
"208",2,7,1,7,11
"209",7,4,0,7,12
"210",4,5,0,5,6
"211",4,5,1,7,12
"212",1,5,1,7,11
"213",1,8,1,9,15
"214",3,5,1,8,14
"215",3,9,1,8,13
"216",1,5,0,8,12
"217",3,10,1,6,8
"218",4,9,0,8,12
"219",4,7,1,6,9
"220",4,3,0,7,11
"221",5,4,1,6,10
"222",1,4,0,5,5
"223",2,7,1,8,13
"224",1,7,1,9,15
"225",1,5,1,5,6
"226",4,5,0,6,8
"227",6,5,0,7,11
"228",4,3,1,4,5
"229",1,5,1,8,13
"230",5,5,0,8,13
"231",1,1,0,9,15
"232",3,8,1,6,8
"233",1,5,1,6,8
"234",2,4,0,8,12
"235",3,5,0,8,12
"236",1,6,1,7,10
"237",3,3,0,7,10
